Название вакансии,название компании,зарплата,ссылка на вакансию
Unity VR/AR developer (Junior),VR DEV,,https://tomsk.hh.ru/vacancy/104404384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Rust разработчик,Кадровое Агентство Averina.agency,от 250 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105851244?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
ML-разработчик,ООО Спутник,от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103009778?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс),Userstory,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105433671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик на PHP (1С-Битрикс),Национальный исследовательский Томский политехнический университет,60 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103868054?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Python,Алабуга. Human Resources,от 240 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/105693769?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик радиоэлектронной аппаратуры,ООО Унитех,100 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105865623?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity VR/AR developer (Middle),VR DEV,,https://tomsk.hh.ru/vacancy/104404650?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (React),АО Научно-производственная фирма Микран,,https://tomsk.hh.ru/vacancy/105767507?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор системы BPM,ООО Система,от 65 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105777136?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик (middle+),ООО МАГ Девелопмент,до 250 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102069013?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Angular),Т-Банк,,https://tomsk.hh.ru/vacancy/103095630?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик технической документации/технический писатель,ООО ЛОРГЕ медикал,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104719691?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (React),Т-Банк,,https://tomsk.hh.ru/vacancy/104711974?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
